county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
屏東縣,長治鄉,9194,3487.43,22.69457601528677,120.55838802540586
屏東縣,潮州鎮,7914,3003.94,22.53530739154133,120.560497809949
屏東縣,九如鄉,9277,2994.55,22.733564899385236,120.4885593122296
屏東縣,屏東市,10775,2721.72,22.6595236863655,120.48315974031334
屏東縣,新園鄉,10596,2667.9,22.51981411969718,120.45182052293215
屏東縣,佳冬鄉,9759,2034.52,22.429421853413345,120.54851229576606
屏東縣,崁頂鄉,6404,1904.7,22.515173133389265,120.50167742862193
屏東縣,竹田鄉,7169,1890.44,22.590123721914942,120.52723680727472
屏東縣,南州鄉,5013,1493.54,22.47904264684871,120.51854508317822
屏東縣,三地門鄉,2164,1436.35,22.770359570958366,120.64920345921482
屏東縣,滿州鄉,2833,1400.08,22.038048162549668,120.83110479371838
屏東縣,獅子鄉,1907,1336.09,22.263734002959346,120.684493561057
屏東縣,東港鎮,4685,1327.63,22.467808344590576,120.4808463244663
屏東縣,來義鄉,2929,1183.38,22.491501210844753,120.64299046590158
屏東縣,林邊鄉,3521,1056.04,22.443018636984807,120.51265339213899
屏東縣,麟洛鄉,3238,1003.66,22.648413016219596,120.52970055306942
屏東縣,車城鄉,5100,975.7,22.075830899338293,120.72856914312584
屏東縣,枋山鄉,2858,834.25,22.274314469941718,120.6564860345763
屏東縣,春日鄉,901,723.25,22.391921681564398,120.64185577799408
屏東縣,泰武鄉,1210,630.72,22.5962093294377,120.65145436809239
屏東縣,牡丹鄉,1073,416.39,22.14943349565362,120.81301710711698
屏東縣,瑪家鄉,430,284.5,22.66795242780099,120.65358345149276
屏東縣,霧臺鄉,205,92.19,22.752297006220648,120.73309148312849
屏東縣,琉球鄉,610,45.4,22.34264100279204,120.37088986823423
花蓮縣,鳳林鎮,11993,7520.97,23.743187563261355,121.46621892487578
花蓮縣,玉里鎮,20876,6262.96,23.37174356342878,121.34822807396944
花蓮縣,壽豐鄉,12313,5979.97,23.85728541360883,121.51929877917917
花蓮縣,光復鄉,10327,5319.99,23.642012772455555,121.41950876122823
花蓮縣,瑞穗鄉,11879,4495.46,23.51957514059624,121.38035697051004
花蓮縣,富里鄉,17860,4004.63,23.206930271778475,121.27975736358556
花蓮縣,吉安鄉,14972,2576.11,23.95397309115873,121.56640606369696
花蓮縣,萬榮鄉,4146,1853.52,23.658658207829948,121.388837041449
花蓮縣,卓溪鄉,3248,1678.13,23.33162166990293,121.2790855918802
花蓮縣,秀林鄉,3173,1334.85,24.05727613824476,121.5623579380074
花蓮縣,豐濱鄉,4268,892.24,23.588365336998258,121.51489566453209
花蓮縣,新城鄉,2780,849.96,24.06753356610452,121.61416122935353
花蓮縣,花蓮市,1927,458.42,24.001497312134887,121.59751179516422
臺東縣,臺東市,18098,5341.15,22.747278111250733,121.10075491169759
臺東縣,卑南鄉,10774,4250.37,22.817371501474103,121.09572405643755
臺東縣,鹿野鄉,11668,3055.78,22.945931860279146,121.14176570762741
臺東縣,東河鄉,10533,2902.83,22.952108024568965,121.25504324616821
臺東縣,池上鄉,9054,2894.06,23.105341098686463,121.21010723367215
臺東縣,關山鎮,10153,2665.67,23.047603648050078,121.17052923720556
臺東縣,太麻里鄉,5832,2507.79,22.620623678409686,120.99643810502171
臺東縣,長濱鄉,11181,2144.41,23.325712482896623,121.44076818716958
臺東縣,成功鎮,11945,1900.2,23.102307142033567,121.36283776440888
臺東縣,海端鄉,2656,1192.85,23.109410581308232,121.13230244176842
臺東縣,延平鄉,3005,1088.91,22.908591136990236,121.1114112419951
臺東縣,金峰鄉,2074,1007.31,22.614192125489385,120.95927882137718
臺東縣,達仁鄉,1680,740.05,22.413796366531887,120.88151342732807
臺東縣,大武鄉,1285,546.4,22.37867559026881,120.89917062261291
臺東縣,蘭嶼鄉,2183,209.96,22.051689948286278,121.54615459987077
臺東縣,綠島鄉,379,53.77,22.665833450552014,121.48614142013747
